TimeStep: 93528, m: 380.96, v: 0.15, y: -3.60, k: 25.84 
TimeStep: 93529, m: 380.96, v: 0.01, y: 0.17, k: 1.87 
TimeStep: 93531, m: 380.97, v: 0.01, y: -0.13, k: 2.17 
TimeStep: 93532, m: 380.96, v: 0.02, y: 0.13, k: 1.35 
TimeStep: 93533, m: 380.92, v: 0.16, y: 0.02, k: 43.33 
TimeStep: 93534, m: 380.87, v: 0.00, y: NaN, k: NaN 
TimeStep: 93535, m: 380.86, v: 0.00, y: 1.00, k: 1.00 
TimeStep: 93536, m: 380.92, v: 0.24, y: 0.04, k: 30.02 
TimeStep: 93537, m: 380.92, v: 0.01, y: 0.52, k: 2.21 
TimeStep: 93538, m: 380.96, v: 0.01, y: -0.24, k: 1.79 
TimeStep: 93539, m: 380.82, v: 0.11, y: -2.42, k: 43.33 
TimeStep: 93540, m: 380.85, v: 0.03, y: -0.73, k: 3.93 
TimeStep: 93541, m: 380.82, v: 0.03, y: -0.19, k: 3.86 
TimeStep: 93542, m: 380.84, v: 0.17, y: 2.44, k: 36.40 
TimeStep: 93543, m: 380.81, v: 0.01, y: 0.13, k: 2.60 
TimeStep: 93544, m: 380.80, v: 0.25, y: 0.76, k: 30.89 
TimeStep: 93545, m: 380.84, v: 0.01, y: 0.37, k: 1.43 
TimeStep: 93546, m: 380.90, v: 0.02, y: 0.38, k: 1.72 
TimeStep: 93547, m: 380.88, v: 0.03, y: 0.11, k: 2.46 
TimeStep: 93548, m: 380.90, v: 0.01, y: 0.27, k: 2.07 
TimeStep: 93549, m: 380.85, v: 0.46, y: 0.04, k: 16.13 
TimeStep: 93550, m: 380.93, v: 0.01, y: 0.33, k: 2.67 
TimeStep: 93551, m: 380.83, v: 0.22, y: -4.82, k: 25.21 
TimeStep: 93552, m: 380.89, v: 0.01, y: 1.13, k: 2.31 
TimeStep: 93553, m: 380.92, v: 0.08, y: 5.01, k: 104.26 
TimeStep: 93554, m: 380.91, v: 0.09, y: -7.47, k: 61.32 
TimeStep: 93555, m: 381.06, v: 0.09, y: 2.28, k: 6.83 
TimeStep: 93556, m: 380.95, v: 0.00, y: 0.19, k: 1.11 
TimeStep: 93557, m: 380.94, v: 0.12, y: 2.55, k: 65.86 
TimeStep: 93558, m: 381.04, v: 0.00, y: -0.36, k: 1.35 
TimeStep: 93559, m: 381.02, v: 0.00, y: 2.01, k: 8.43 
TimeStep: 93600, m: 381.21, v: 0.06, y: 4.38, k: 94.00 
TimeStep: 93601, m: 381.16, v: 0.13, y: 0.41, k: 40.31 
TimeStep: 93602, m: 381.15, v: 0.08, y: 1.18, k: 4.18 
TimeStep: 93603, m: 381.13, v: 0.04, y: -0.30, k: 2.45 
